amount,transaction_freq_24h,account_age_days,is_weekend,risk_score,is_fraud
430.67,2,616,1,0.3,0
657.74,9,550,0,0.6,0
745.32,3,1026,1,0.3,0
809.11,3,1074,1,0.3,0
258.23,3,138,0,0.0,0
230.5,2,781,0,0.0,0
863.13,5,179,1,0.3,0
302.26,2,14,1,1.0,1
102.2,4,604,0,0.0,0
117.84,3,522,0,0.0,0
145.93,0,539,1,0.3,0
601.69,0,24,1,1.0,1
422.0,4,705,1,0.3,0
730.02,4,560,0,0.0,0
238.73,6,64,1,0.3,0
428.86,2,370,0,0.0,0
684.15,3,148,0,0.0,0
268.6,6,989,0,0.0,0
577.88,3,812,1,0.3,0
188.79,2,540,1,0.3,0
254.56,1,96,1,0.3,0
249.85,0,930,1,0.3,0
110.69,4,389,1,0.3,0
595.59,7,639,0,0.6,0
228.88,3,788,0,0.0,0
370.58,4,434,0,0.0,0
591.9,4,1064,0,0.0,0
571.99,7,252,0,0.6,0
711.92,2,376,1,0.3,1
331.66,3,201,0,0.0,0
239.68,2,376,0,0.0,0
337.94,4,870,1,0.3,0
67.71,2,516,1,0.3,0
86.1,5,966,0,0.0,0
97.5,1,975,1,0.3,0
135.01,4,355,1,0.3,0
545.86,1,870,1,0.3,0
147.98,3,542,1,0.3,0
250.74,2,464,1,0.3,0
1341.86,5,315,1,1.2,1
256.29,2,73,1,0.3,0
765.17,4,499,1,0.3,0
143.88,1,732,1,0.3,0
298.02,2,952,0,0.0,0
141.54,3,451,1,0.3,0
260.75,2,151,0,0.0,0
848.01,2,513,0,0.0,0
65.06,4,319,0,0.0,0
565.1,3,1006,0,0.0,0
464.2,1,761,0,0.0,0
202.03,3,991,0,0.0,0
86.19,3,340,0,0.0,0
393.36,5,488,0,0.0,0
215.53,3,89,1,0.3,0
461.86,5,148,0,0.0,0
374.07,4,410,0,0.0,0
1815.95,2,435,1,1.2,1
288.08,3,740,1,0.3,0
131.51,0,236,0,0.0,0
437.84,3,1077,0,0.0,0
456.04,1,854,1,0.3,0
1424.78,2,977,0,0.9,1
843.62,3,336,1,0.3,0
522.93,0,615,0,0.0,0
1581.12,0,567,0,0.9,1
111.48,2,851,0,0.0,0
193.03,2,928,1,0.3,0
144.89,0,626,0,0.0,0
247.84,1,1067,1,0.3,0
92.38,1,541,1,0.3,0
690.72,7,301,0,0.6,0
293.06,1,187,1,0.3,0
84.08,2,413,1,0.3,0
132.56,4,320,0,0.0,0
500.75,2,220,0,0.0,0
846.16,3,495,0,0.0,0
2695.44,6,287,0,0.9,1
6744.26,3,1079,1,1.2,1
553.91,1,334,0,0.0,0
136.05,2,666,0,0.0,0
43.4,1,823,1,0.3,0
478.33,5,1034,0,0.0,0
162.33,1,752,0,0.0,0
241.59,5,283,1,0.3,0
198.44,4,609,1,0.3,0
317.92,3,76,1,0.3,0
1062.7,6,296,1,1.2,1
428.22,5,1071,0,0.0,0
312.3,2,6,1,1.0,1
129.92,1,361,1,0.3,0
68.57,2,59,1,1.0,1
225.04,11,586,0,0.6,0
346.82,7,822,0,0.6,0
2144.19,3,78,1,1.2,1
416.91,2,141,1,0.3,0
977.82,1,942,0,0.0,0
222.14,4,306,0,0.0,0
111.9,1,1,1,1.0,1
139.42,7,108,1,0.8999999999999999,1
177.21,1,992,1,0.3,0
3074.98,5,1011,0,0.9,1
160.97,1,181,0,0.0,0
846.47,3,307,1,0.3,0
148.36,1,201,1,0.3,0
929.05,5,539,0,0.0,0
537.83,1,904,0,0.0,0
312.92,3,831,1,0.3,0
351.36,4,423,1,0.3,0
190.15,2,761,1,0.3,0
571.72,2,281,0,0.0,0
232.2,4,995,0,0.0,0
107.45,1,653,0,0.0,0
101.97,2,1004,1,0.3,0
434.92,3,279,1,0.3,0
1775.21,4,1040,1,1.2,1
429.48,2,314,0,0.0,0
325.04,3,749,0,0.0,0
487.07,4,50,0,0.7,1
1350.98,1,253,1,1.2,1
455.76,5,591,1,0.3,0
242.66,3,552,0,0.0,0
1106.41,4,142,1,1.2,1
561.91,3,11,0,0.7,1
1699.93,2,916,0,0.9,1
439.58,1,268,1,0.3,0
107.57,3,822,0,0.0,0
93.17,4,190,1,0.3,0
1907.43,2,313,1,1.2,1
2051.34,3,19,1,1.9000000000000001,1
305.84,2,584,1,0.3,0
249.48,5,566,1,0.3,0
1578.18,1,632,1,1.2,1
120.97,1,819,1,0.3,0
149.58,0,730,1,0.3,0
696.39,7,222,0,0.6,0
246.65,3,459,1,0.3,0
364.11,3,84,1,0.3,0
310.8,6,714,0,0.0,0
512.94,3,434,1,0.3,0
1495.28,0,186,0,0.9,1
400.68,2,961,0,0.0,0
696.82,1,516,1,0.3,0
47.11,6,58,0,0.7,1
348.58,6,103,0,0.0,0
157.49,4,319,1,0.3,0
108.18,1,1030,0,0.0,0
152.08,4,108,0,0.0,0
262.03,3,440,0,0.0,0
914.6,1,435,0,0.0,1
97.14,3,676,1,0.3,0
377.37,3,656,1,0.3,0
225.52,2,536,1,0.3,0
263.73,5,883,1,0.3,0
997.59,5,30,1,1.0,1
626.85,4,431,0,0.0,0
1394.07,2,69,0,0.9,1
313.59,4,330,1,0.3,0
182.48,0,290,1,0.3,0
292.58,3,967,1,0.3,0
466.42,1,739,0,0.0,0
436.66,1,263,0,0.0,0
123.74,5,702,1,0.3,0
400.64,1,911,0,0.0,0
459.81,5,206,1,0.3,0
4537.17,5,618,1,1.2,1
2390.91,5,535,0,0.9,1
155.92,3,1001,0,0.0,0
274.57,7,402,1,0.8999999999999999,1
84.7,3,743,1,0.3,0
202.73,2,622,0,0.0,0
501.79,2,354,0,0.0,0
1222.24,4,367,0,0.9,1
176.53,4,943,0,0.0,0
190.27,3,981,1,0.3,0
42.75,1,285,1,0.3,0
311.04,5,517,1,0.3,0
126.49,1,157,1,0.3,0
215.54,4,467,1,0.3,0
152.28,3,950,0,0.0,0
333.06,1,770,0,0.0,0
63.11,2,532,1,0.3,0
84.4,4,855,0,0.0,0
3077.37,1,605,0,0.9,1
101.0,1,479,0,0.0,0
122.22,8,19,1,1.5999999999999999,1
2297.32,2,120,1,1.2,1
6685.21,2,590,1,1.2,1
113.41,2,94,1,0.3,0
253.24,3,13,1,1.0,1
514.99,0,358,1,0.3,0
2061.69,4,609,0,0.9,1
136.42,2,802,0,0.0,0
286.38,1,1057,0,0.0,0
796.26,6,716,1,0.3,0
565.3,2,1067,0,0.0,0
251.25,5,315,1,0.3,0
320.14,4,720,1,0.3,0
92.54,5,5,0,0.7,1
288.42,0,149,0,0.0,0
280.39,3,704,0,0.0,0
461.63,3,346,1,0.3,0
210.03,4,618,1,0.3,0
586.47,5,1032,1,0.3,0
1007.57,4,846,0,0.0,0
427.53,3,385,0,0.0,0
520.27,4,751,1,0.3,0
385.96,1,1011,1,0.3,0
366.01,5,271,0,0.0,0
177.87,2,608,1,0.3,0
502.24,2,802,0,0.0,0
332.05,3,722,0,0.0,0
2968.33,2,533,1,1.2,1
1765.06,3,474,0,0.9,1
538.31,3,629,0,0.0,0
170.64,5,544,1,0.3,0
120.32,3,391,1,0.3,0
1204.39,4,957,0,0.9,1
475.96,2,865,0,0.0,0
591.54,4,702,1,0.3,0
63.94,1,215,0,0.0,0
925.21,1,563,0,0.0,0
576.52,5,224,0,0.0,0
120.56,2,178,0,0.0,0
228.39,0,260,1,0.3,0
476.42,4,173,0,0.0,0
385.7,2,864,0,0.0,0
273.26,5,563,1,0.3,0
330.0,3,797,0,0.0,0
284.46,3,1069,0,0.0,0
426.3,7,295,0,0.6,0
1594.12,5,214,0,0.9,1
28.1,2,158,1,0.3,0
288.8,4,21,1,1.0,1
436.63,3,31,0,0.7,1
492.05,4,652,0,0.0,0
252.31,7,749,1,0.8999999999999999,1
63.17,4,320,0,0.0,0
508.05,4,590,0,0.0,0
2058.92,7,227,1,1.8,1
78.94,0,769,0,0.0,0
868.19,4,778,1,0.3,0
263.5,4,775,0,0.0,0
344.21,4,561,1,0.3,0
127.7,3,925,0,0.0,0
261.94,4,92,0,0.0,0
1342.96,3,456,1,1.2,1
655.4,5,70,1,0.3,0
2069.16,1,906,1,1.2,1
1187.96,3,81,1,1.2,1
567.74,1,477,1,0.3,0
2093.35,2,204,1,1.2,1
567.69,4,775,1,0.3,0
837.63,0,441,1,0.3,0
272.06,1,603,1,0.3,0
391.17,6,1053,0,0.0,0
182.21,5,1009,0,0.0,0
984.53,6,469,0,0.0,0
112.65,1,405,0,0.0,0
800.26,2,328,0,0.0,0
302.46,4,755,1,0.3,0
1180.66,3,1089,0,0.9,1
775.46,1,655,1,0.3,0
2260.25,3,619,1,1.2,1
760.03,4,1093,1,0.3,0
75.99,2,208,1,0.3,0
342.28,1,85,1,0.3,0
113.36,2,104,1,0.3,0
217.96,5,655,0,0.0,0
1658.74,4,981,1,1.2,1
692.37,3,255,1,0.3,0
181.94,4,793,0,0.0,0
132.8,3,968,1,0.3,0
378.18,2,1003,0,0.0,0
108.42,0,870,1,0.3,0
187.06,5,402,1,0.3,0
499.99,1,725,1,0.3,0
1162.0,4,608,0,0.9,1
672.73,3,526,0,0.0,0
37.01,1,775,1,0.3,0
496.19,3,746,1,0.3,0
393.32,2,885,1,0.3,0
553.62,4,607,0,0.0,0
1842.35,3,721,1,1.2,1
46.5,3,315,0,0.0,0
202.65,2,518,1,0.3,0
660.83,3,897,1,0.3,0
75.26,2,845,0,0.0,0
1601.24,7,561,1,1.8,1
528.98,1,621,1,0.3,0
853.35,1,282,1,0.3,0
206.78,1,419,0,0.0,0
825.8,5,727,0,0.0,0
1065.35,4,127,1,1.2,1
461.95,4,21,0,0.7,1
462.66,0,657,1,0.3,0
479.59,5,788,0,0.0,0
154.35,3,1073,0,0.0,0
315.78,2,515,1,0.3,0
314.21,4,135,1,0.3,0
536.99,3,694,1,0.3,0
994.67,4,337,1,0.3,0
126.98,2,172,1,0.3,0
322.98,8,680,0,0.6,0
1610.08,2,786,0,0.9,1
173.99,3,61,1,0.3,0
160.83,2,792,1,0.3,0
448.04,0,629,0,0.0,0
851.48,3,812,0,0.0,0
370.19,3,690,0,0.0,0
1382.36,3,512,1,1.2,1
862.11,1,366,1,0.3,0
849.29,1,701,1,0.3,0
636.96,3,219,1,0.3,0
3752.73,8,601,0,1.5,1
298.1,2,824,0,0.0,0
49.36,1,255,0,0.0,0
1820.45,6,94,0,0.9,1
231.57,3,26,1,1.0,1
407.67,3,608,0,0.0,0
1355.78,1,453,0,0.9,1
73.72,3,716,1,0.3,0
104.68,7,892,0,0.6,0
73.8,3,1071,1,0.3,0
165.41,0,353,1,0.3,0
568.06,4,123,0,0.0,0
618.18,2,820,0,0.0,0
482.44,4,21,1,1.0,1
89.11,2,700,1,0.3,0
36.32,5,301,0,0.0,0
386.43,3,387,0,0.0,0
228.33,3,136,0,0.0,0
579.39,3,1,0,0.7,1
738.44,2,213,0,0.0,0
420.24,1,472,0,0.0,0
782.68,0,322,0,0.0,0
460.26,2,430,1,0.3,0
621.82,1,123,0,0.0,0
180.89,1,152,1,0.3,0
305.81,5,818,0,0.0,0
445.57,1,896,0,0.0,0
831.4,4,810,0,0.0,0
246.87,2,1046,1,0.3,0
616.31,0,801,0,0.0,0
280.55,6,133,1,0.3,0
325.4,0,807,1,0.3,0
838.91,5,253,1,0.3,0
49.88,3,851,0,0.0,0
100.09,4,692,1,0.3,0
83.13,1,927,1,0.3,0
35.48,4,1041,1,0.3,0
185.73,1,754,1,0.3,0
774.35,3,1022,1,0.3,0
275.26,1,592,1,0.3,0
446.03,4,1019,1,0.3,0
1087.68,1,98,0,0.9,1
1380.6,2,482,1,1.2,1
341.53,0,835,1,0.3,0
1416.82,3,1079,0,0.9,1
401.3,3,951,1,0.3,0
158.41,3,399,0,0.0,0
201.98,2,687,1,0.3,0
83.27,3,95,1,0.3,0
150.57,2,127,1,0.3,0
255.84,3,771,0,0.0,0
817.43,7,343,0,0.6,0
2045.41,3,609,0,0.9,1
91.87,5,226,0,0.0,0
542.08,3,875,1,0.3,0
129.29,3,95,1,0.3,0
588.33,4,680,1,0.3,0
321.02,3,741,1,0.3,0
58.66,2,898,1,0.3,0
926.01,4,280,1,0.3,0
199.85,3,377,0,0.0,0
214.58,4,609,0,0.0,0
125.57,0,316,0,0.0,0
190.24,4,806,0,0.0,0
561.42,6,829,0,0.0,0
302.88,3,827,1,0.3,0
508.39,2,545,1,0.3,0
525.58,0,687,0,0.0,0
1370.93,2,197,0,0.9,1
259.77,2,217,1,0.3,0
83.57,3,411,1,0.3,0
1064.02,3,227,0,0.9,1
262.72,1,876,0,0.0,0
1115.63,7,282,0,1.5,1
536.98,2,1011,0,0.0,0
321.0,2,450,1,0.3,0
518.72,2,832,1,0.3,0
2574.98,4,84,0,0.9,1
2920.66,1,786,1,1.2,1
392.28,3,499,1,0.3,0
429.57,2,888,1,0.3,1
1073.66,2,198,1,1.2,1
157.11,4,220,0,0.0,0
510.64,3,944,1,0.3,0
356.64,2,635,0,0.0,0
500.94,5,616,1,0.3,0
159.05,6,651,1,0.3,0
74.67,4,392,0,0.0,0
46.04,4,1035,0,0.0,0
119.73,0,607,0,0.0,0
231.34,3,17,0,0.7,1
272.98,0,314,0,0.0,0
2539.74,6,1062,0,0.9,1
1106.08,4,532,1,1.2,1
139.84,3,795,0,0.0,0
518.16,4,21,1,1.0,1
243.59,4,25,1,1.0,1
275.4,5,224,0,0.0,0
440.5,2,568,1,0.3,0
679.77,4,667,1,0.3,0
260.69,2,77,1,0.3,0
1060.44,6,1003,1,1.2,1
116.82,4,661,1,0.3,0
368.31,2,385,1,0.3,0
4916.04,4,495,1,1.2,1
457.45,1,554,1,0.3,0
1534.25,1,846,1,1.2,1
401.06,1,102,1,0.3,0
654.17,0,634,1,0.3,0
345.78,2,573,0,0.0,0
308.64,2,861,0,0.0,0
167.86,4,394,0,0.0,0
562.78,1,404,0,0.0,1
156.19,0,884,0,0.0,0
712.07,2,938,0,0.0,0
1083.41,2,901,0,0.9,1
528.01,1,948,1,0.3,0
274.88,3,113,0,0.0,0
576.26,2,718,0,0.0,0
268.79,4,753,0,0.0,0
932.75,3,289,0,0.0,0
58.63,5,497,0,0.0,0
261.64,3,1085,1,0.3,0
49.99,2,153,0,0.0,0
82.07,4,895,1,0.3,0
1431.46,0,348,0,0.9,1
895.85,0,932,0,0.0,0
178.24,2,585,1,0.3,0
81.46,3,13,1,1.0,1
18.88,2,120,1,0.3,0
212.53,3,904,1,0.3,0
4117.49,6,866,0,0.9,1
565.36,2,239,0,0.0,0
209.14,1,702,0,0.0,0
582.7,1,557,0,0.0,0
76.83,4,59,1,1.0,1
271.85,1,771,0,0.0,0
404.26,7,175,1,0.8999999999999999,1
335.79,1,449,1,0.3,0
807.05,3,9,0,0.7,1
516.58,3,267,0,0.0,0
714.02,2,1025,1,0.3,0
183.87,0,548,1,0.3,0
898.21,2,792,1,0.3,0
1865.94,1,328,0,0.9,1
138.72,1,48,0,0.7,1
150.64,6,674,0,0.0,0
1391.82,6,263,0,0.9,1
302.25,2,121,1,0.3,0
1489.81,3,541,0,0.9,1
235.11,4,447,0,0.0,0
1568.12,2,127,0,0.9,1
417.41,0,648,0,0.0,0
473.81,5,488,1,0.3,0
1749.88,4,1084,1,1.2,1
254.89,4,98,1,0.3,0
142.8,5,543,1,0.3,0
233.7,6,868,0,0.0,0
575.32,2,466,1,0.3,0
76.46,6,229,0,0.0,1
692.33,4,1083,1,0.3,0
213.54,2,356,0,0.0,0
1153.32,1,1013,1,1.2,1
33.39,5,920,0,0.0,0
166.67,4,737,0,0.0,0
67.77,3,846,0,0.0,0
160.19,5,596,0,0.0,0
468.84,4,732,0,0.0,0
305.93,5,297,1,0.3,0
284.07,4,62,1,0.3,0
312.12,3,683,1,0.3,0
448.53,2,879,1,0.3,0
133.49,1,913,0,0.0,0
742.06,4,834,0,0.0,0
709.99,0,1074,1,0.3,0
537.87,2,651,1,0.3,0
638.5,5,188,0,0.0,0
492.26,4,225,1,0.3,0
2800.79,2,300,0,0.9,1
335.46,4,1068,1,0.3,0
269.21,3,968,0,0.0,0
172.27,4,794,1,0.3,0
130.36,0,942,1,0.3,0
105.44,2,375,0,0.0,0
150.47,2,785,0,0.0,0
341.01,0,183,1,0.3,0
511.26,2,114,0,0.0,0
385.19,3,703,0,0.0,0
170.21,2,773,1,0.3,0
900.34,1,652,0,0.0,0
766.63,3,514,1,0.3,1
311.98,5,664,1,0.3,0
190.5,4,407,0,0.0,0
633.34,2,322,1,0.3,0
441.67,4,275,1,0.3,0
86.01,3,399,1,0.3,0
341.93,4,348,1,0.3,0
475.62,4,174,0,0.0,0
148.84,2,587,1,0.3,0
442.49,4,450,1,0.3,0
85.44,2,178,1,0.3,0
1392.38,2,992,1,1.2,1
1274.79,4,558,0,0.9,1
284.31,2,156,1,0.3,0
526.39,3,53,0,0.7,1
32.87,6,94,0,0.0,0
115.15,1,450,0,0.0,0
272.82,4,266,0,0.0,0
125.27,0,1051,1,0.3,0
747.68,4,514,0,0.0,0
2696.96,2,809,0,0.9,1
112.84,5,268,1,0.3,0
158.4,5,76,1,0.3,0
463.14,2,367,0,0.0,0
1832.99,2,753,0,0.9,1
107.79,6,836,0,0.0,0
469.48,2,215,0,0.0,0
2261.73,6,325,1,1.2,1
70.16,1,519,1,0.3,0
101.65,3,380,0,0.0,0
239.6,5,322,0,0.0,0
217.46,2,1077,1,0.3,0
824.84,5,1022,0,0.0,0
466.03,5,390,0,0.0,0
62.03,2,60,0,0.0,0
612.77,4,393,0,0.0,0
205.42,3,964,1,0.3,0
1309.02,5,984,0,0.9,1
195.39,1,768,1,0.3,0
193.63,6,740,1,0.3,0
628.74,5,397,1,0.3,0
784.86,3,483,0,0.0,0
572.88,5,963,0,0.0,0
67.83,4,237,1,0.3,0
626.79,2,445,1,0.3,0
130.1,1,960,0,0.0,0
463.06,3,765,0,0.0,0
88.13,8,120,0,0.6,0
571.87,3,862,1,0.3,0
163.36,4,75,1,0.3,0
101.49,3,314,0,0.0,0
747.25,2,1007,0,0.0,0
466.02,5,80,1,0.3,0
198.07,0,206,1,0.3,0
1562.06,1,950,1,1.2,1
235.55,2,733,0,0.0,0
377.92,5,254,0,0.0,0
478.9,6,377,1,0.3,0
196.94,6,1020,0,0.0,0
586.24,2,663,0,0.0,0
214.68,6,345,0,0.0,0
242.49,4,158,0,0.0,0
1429.71,5,454,0,0.9,1
129.28,4,347,1,0.3,0
32.78,2,471,1,0.3,0
1832.66,0,54,0,1.6,1
4684.02,7,512,1,1.8,1
244.04,0,270,0,0.0,0
52.76,4,1054,0,0.0,0
268.3,5,303,1,0.3,0
274.89,6,269,0,0.0,0
302.68,3,331,1,0.3,1
120.2,6,666,0,0.0,0
653.37,4,800,0,0.0,0
618.37,4,322,0,0.0,0
82.12,3,760,0,0.0,0
736.41,5,144,0,0.0,0
2850.56,2,210,0,0.9,1
434.65,4,316,0,0.0,0
261.19,5,766,1,0.3,0
317.53,2,605,0,0.0,0
677.12,3,505,1,0.3,0
64.84,1,665,0,0.0,0
431.37,3,215,1,0.3,0
247.68,3,289,1,0.3,0
2322.52,2,773,0,0.9,1
307.48,2,1081,1,0.3,0
1940.06,3,1,1,1.9000000000000001,1
121.37,2,397,0,0.0,0
658.42,5,967,1,0.3,0
503.7,0,911,0,0.0,0
153.48,3,287,0,0.0,0
437.02,2,39,1,1.0,1
1230.41,5,622,0,0.9,1
264.75,2,761,0,0.0,0
67.4,4,279,0,0.0,0
359.61,6,332,1,0.3,0
148.44,3,738,0,0.0,0
259.89,2,588,1,0.3,0
337.31,1,309,1,0.3,0
66.48,4,916,1,0.3,0
72.74,4,989,1,0.3,0
592.68,4,793,0,0.0,0
216.99,4,1035,0,0.0,0
28.16,1,394,0,0.0,0
802.26,5,122,0,0.0,0
480.56,1,802,0,0.0,0
179.24,1,613,0,0.0,0
98.08,3,453,0,0.0,0
844.2,1,286,0,0.0,0
519.02,0,70,1,0.3,0
3964.71,9,188,1,1.8,1
557.12,1,729,1,0.3,0
539.31,4,250,0,0.0,0
309.72,4,1025,1,0.3,0
828.29,4,518,0,0.0,0
683.8,3,92,0,0.0,0
1279.61,9,716,0,1.5,1
217.3,3,753,1,0.3,0
236.79,7,197,1,0.8999999999999999,0
226.67,4,919,1,0.3,0
807.05,7,808,0,0.6,0
1637.55,3,653,0,0.9,1
231.31,3,133,0,0.0,0
239.32,1,532,1,0.3,0
501.03,2,1063,1,0.3,0
286.24,6,260,1,0.3,0
948.27,7,1024,1,0.8999999999999999,1
38.51,5,213,1,0.3,0
160.11,5,664,0,0.0,0
167.36,4,434,1,0.3,0
35.95,5,75,1,0.3,0
139.62,1,702,1,0.3,0
146.56,4,518,1,0.3,1
299.31,7,345,1,0.8999999999999999,1
1113.82,4,255,1,1.2,1
286.44,4,535,0,0.0,0
130.55,1,116,0,0.0,0
345.72,4,657,0,0.0,0
1044.99,2,102,0,0.9,1
137.91,3,230,1,0.3,0
147.23,3,558,0,0.0,0
639.79,3,812,0,0.0,0
293.26,4,435,1,0.3,0
699.29,4,688,0,0.0,0
361.02,2,1020,0,0.0,0
738.23,6,648,0,0.0,0
130.0,2,821,0,0.0,0
361.59,1,524,0,0.0,0
296.45,2,285,0,0.0,0
108.49,3,400,0,0.0,0
76.64,4,385,1,0.3,0
726.57,3,601,0,0.0,0
257.66,3,166,0,0.0,0
131.67,5,838,1,0.3,0
332.42,2,167,1,0.3,0
1130.71,2,773,1,1.2,1
37.41,3,517,1,0.3,0
81.94,6,808,1,0.3,0
145.43,3,192,0,0.0,0
1577.76,2,230,1,1.2,1
485.5,0,276,0,0.0,0
788.32,2,853,0,0.0,0
117.03,1,291,0,0.0,0
119.47,2,367,0,0.0,0
572.72,3,153,1,0.3,0
387.94,2,255,0,0.0,0
633.54,3,937,0,0.0,0
303.36,3,133,1,0.3,0
483.34,6,999,1,0.3,0
428.68,3,909,1,0.3,0
796.6,2,1038,0,0.0,0
820.24,3,682,1,0.3,0
72.44,2,749,1,0.3,0
38.68,4,921,1,0.3,0
996.58,1,777,1,0.3,0
1200.28,2,615,0,0.9,1
131.89,2,461,0,0.0,0
56.98,3,942,1,0.3,0
404.08,3,346,0,0.0,0
928.36,1,609,1,0.3,0
2208.74,2,66,1,1.2,1
613.32,4,707,0,0.0,0
252.36,1,145,0,0.0,0
149.82,3,62,1,0.3,1
370.2,1,325,0,0.0,0
271.33,2,733,1,0.3,0
132.62,5,902,1,0.3,0
2839.38,2,654,0,0.9,1
2181.47,4,716,0,0.9,1
1139.83,3,265,0,0.9,1
145.73,1,117,1,0.3,0
860.58,1,124,1,0.3,0
693.82,2,83,0,0.0,0
569.71,4,380,1,0.3,0
1276.98,1,819,1,1.2,1
690.87,2,66,0,0.0,0
767.09,2,380,0,0.0,0
691.93,2,658,0,0.0,0
514.59,1,66,1,0.3,0
61.5,2,598,0,0.0,0
397.9,2,435,1,0.3,0
209.85,2,1005,1,0.3,0
101.77,5,544,1,0.3,0
1967.27,2,567,1,1.2,1
2062.31,10,931,0,1.5,1
1424.83,2,799,1,1.2,1
472.39,3,600,0,0.0,0
1412.63,1,727,0,0.9,1
370.42,2,442,1,0.3,0
448.26,3,766,0,0.0,0
122.62,3,338,1,0.3,0
544.34,1,344,0,0.0,0
388.76,6,907,0,0.0,0
99.48,0,455,1,0.3,0
347.72,3,582,0,0.0,0
337.94,2,132,1,0.3,0
2208.67,4,376,1,1.2,1
894.98,2,712,0,0.0,0
370.2,1,581,0,0.0,0
469.36,2,331,0,0.0,0
382.53,3,33,1,1.0,1
298.77,6,601,0,0.0,0
123.98,4,382,1,0.3,0
314.67,2,1009,1,0.3,0
173.55,2,48,0,0.7,1
104.82,3,748,0,0.0,0
610.21,3,420,1,0.3,0
541.23,2,293,1,0.3,0
61.31,2,782,0,0.0,0
323.73,6,564,0,0.0,0
990.58,4,82,0,0.0,0
1055.54,4,659,0,0.9,1
1020.88,1,196,0,0.0,0
380.5,2,931,1,0.3,0
157.2,7,265,1,0.8999999999999999,1
123.83,2,869,0,0.0,0
516.56,3,361,0,0.0,0
534.79,2,345,0,0.0,0
1325.99,5,3,0,1.6,1
1099.45,4,1007,0,0.9,1
320.65,1,605,1,0.3,0
105.47,0,162,1,0.3,0
266.0,6,38,1,1.0,1
454.78,2,303,1,0.3,0
299.02,1,539,1,0.3,0
205.34,1,38,0,0.7,1
471.29,3,395,1,0.3,0
221.1,6,341,1,0.3,0
195.3,1,956,0,0.0,0
499.71,1,453,0,0.0,0
244.84,0,115,1,0.3,0
467.17,5,264,1,0.3,0
480.96,2,904,0,0.0,0
117.11,5,14,1,1.0,1
226.18,0,146,1,0.3,0
1541.27,0,12,0,1.6,1
114.49,2,54,1,1.0,1
44.08,0,1011,1,0.3,0
56.87,5,1084,0,0.0,0
376.79,4,804,0,0.0,0
377.47,4,101,0,0.0,0
325.37,1,765,0,0.0,0
1232.47,3,846,0,0.9,1
25.27,2,860,1,0.3,0
543.77,1,818,0,0.0,0
1744.15,3,760,1,1.2,1
118.49,3,484,1,0.3,0
250.33,1,68,0,0.0,0
172.38,1,902,1,0.3,0
149.64,4,1013,0,0.0,0
264.1,0,548,1,0.3,0
1525.49,5,470,1,1.2,1
2298.41,2,1004,1,1.2,1
261.56,3,497,1,0.3,0
2459.33,4,406,1,1.2,1
379.24,3,970,1,0.3,0
2113.87,2,1014,0,0.9,1
333.38,6,224,0,0.0,0
417.23,2,302,0,0.0,0
527.45,3,343,1,0.3,0
8790.6,6,175,0,0.9,1
857.37,1,936,0,0.0,0
180.43,4,1066,0,0.0,0
964.47,2,569,0,0.0,0
254.87,3,779,1,0.3,0
224.27,2,460,0,0.0,0
907.95,2,1090,0,0.0,0
377.54,1,1045,1,0.3,0
483.55,1,820,0,0.0,0
